city,country,lat,lng,capital,population,rent
Oldenburg,Germany,53.1439,8.2139,minor,168210,
Osnabrück,Germany,52.2789,8.0431,minor,164748,
Leverkusen,Germany,51.0333,6.9833,minor,163838,
Solingen,Germany,51.1667,7.0833,minor,159360,
Darmstadt,Germany,49.8667,8.65,minor,159207,972.22
Heidelberg,Germany,49.4122,8.71,minor,158741,1008.33
Herne,Germany,51.5426,7.219,minor,156374,
Neuss,Germany,51.2003,6.6939,minor,153796,
Regensburg,Germany,49.0167,12.0833,minor,152610,
Paderborn,Germany,51.7167,8.7667,minor,150580,
Ingolstadt,Germany,48.7636,11.4261,minor,136981,
Würzburg,Germany,49.7944,9.9294,minor,127880,
Fürth,Germany,49.4783,10.9903,minor,127748,
Heilbronn,Germany,49.1404,9.218,minor,126458,
Ulm,Germany,48.3984,9.9916,minor,126405,
Pforzheim,Germany,48.895,8.705,minor,126016,
Wolfsburg,Germany,52.4231,10.7872,minor,124151,
Göttingen,Germany,51.5339,9.9356,minor,119801,
Bottrop,Germany,51.5232,6.9253,minor,117383,
Reutlingen,Germany,48.4833,9.2167,minor,115966,
Koblenz,Germany,50.3597,7.5978,minor,114024,
Bremerhaven,Germany,53.55,8.5833,,113634,
Recklinghausen,Germany,51.6167,7.2,minor,112267,
Bergisch Gladbach,Germany,50.9917,7.1367,minor,111966,
Erlangen,Germany,49.5964,11.0044,minor,111962,
Jena,Germany,50.9272,11.5864,minor,111407,
Remscheid,Germany,51.1802,7.1872,minor,110994,
Trier,Germany,49.7557,6.6394,minor,110636,
Salzgitter,Germany,52.1503,10.3593,minor,104948,
Moers,Germany,51.4592,6.6197,,103725,
Siegen,Germany,50.8756,8.0167,minor,102836,
Hildesheim,Germany,52.15,9.95,minor,101990,
Gütersloh,Germany,51.9,8.3833,minor,100194,
Kaiserslautern,Germany,49.4447,7.7689,minor,100030,
Athens,Greece,37.9842,23.7281,primary,664046,501.67
Thessaloníki,Greece,40.6403,22.9356,admin,315196,444.29
Pátra,Greece,38.25,21.7333,admin,167446,
Piraeus,Greece,37.943,23.6469,minor,163688,
Lárisa,Greece,39.6385,22.4131,admin,144651,
Irákleio,Greece,35.3403,25.1344,admin,140730,
Peristéri,Greece,38.0167,23.6833,minor,139981,
Kallithéa,Greece,37.95,23.7,minor,100641,
Budapest,Hungary,47.4983,19.0408,primary,1723836,521.94
Debrecen,Hungary,47.53,21.6392,admin,200974,362.87
Szeged,Hungary,46.25,20.1667,admin,159074,358.04
Miskolc,Hungary,48.1,20.7833,admin,150695,
Pécs,Hungary,46.0708,18.2331,admin,140237,338.64
Győr,Hungary,47.6842,17.6344,admin,132735,
Nyíregyháza,Hungary,47.95,21.7167,admin,116554,
Kecskemét,Hungary,46.9074,19.6917,admin,109651,
Reykjavík,Iceland,64.1475,-21.935,primary,128793,1434.62
Dublin,Ireland,53.3497,-6.2603,primary,553165,1964.31
Cork,Ireland,51.9,-8.4731,admin,208669,1413.46
Rome,Italy,41.8931,12.4828,primary,2872800,1005
Milan,Italy,45.4669,9.19,admin,1366180,1310.83
Naples,Italy,40.8333,14.25,admin,966144,640.91
Turin,Italy,45.0667,7.7,admin,870952,570
Palermo,Italy,38.1111,13.3517,admin,668405,
Genoa,Italy,44.4072,8.934,admin,580097,661.67
Bologna,Italy,44.4939,11.3428,admin,389261,790.37
Florence,Italy,43.7714,11.2542,admin,380948,833.33
Bari,Italy,41.1253,16.8667,admin,323370,716.67
Catania,Italy,37.5027,15.0873,minor,311584,481.67
Venice,Italy,45.4397,12.3319,admin,261321,
Verona,Italy,45.4386,10.9928,minor,257275,
Messina,Italy,38.1936,15.5542,minor,234293,
Padova,Italy,45.4064,11.8778,minor,210440,669.23
Trieste,Italy,45.6503,13.7703,admin,204338,589.17
Taranto,Italy,40.4181,17.2408,minor,198283,
Brescia,Italy,45.5389,10.2203,minor,196745,621.67
Parma,Italy,44.8015,10.328,minor,195687,562.5
Prato,Italy,43.8808,11.0966,minor,193325,
Modena,Italy,44.6458,10.9257,minor,185273,
Reggio di Calabria,Italy,38.1144,15.65,minor,181447,
Reggio Emilia,Italy,44.7,10.6333,minor,171944,
Perugia,Italy,43.1121,12.3888,admin,165683,
Ravenna,Italy,44.4161,12.2017,minor,159115,
Livorno,Italy,43.55,10.3167,minor,158371,
Cagliari,Italy,39.2167,9.1167,admin,154106,633.33
Foggia,Italy,41.4584,15.5519,minor,151372,
Rimini,Italy,44.0594,12.5683,minor,149403,600
Salerno,Italy,40.6806,14.7597,minor,133970,
Ferrara,Italy,44.8353,11.6199,minor,132278,
Latina,Italy,41.4676,12.9037,minor,126470,
Giugliano in Campania,Italy,40.9319,14.1956,,124361,
Monza,Italy,45.5836,9.2736,minor,123598,
Siracusa,Italy,37.0692,15.2875,minor,121171,
Bergamo,Italy,45.695,9.67,minor,120923,650
Pescara,Italy,42.4643,14.2142,minor,119217,
Trento,Italy,46.0667,11.1167,admin,117997,790
Forlì,Italy,44.2225,12.0408,minor,117863,
Sassari,Italy,40.7267,8.5592,minor,116641,
Vicenza,Italy,45.55,11.55,minor,111620,
Terni,Italy,42.5667,12.65,minor,111189,
Bolzano,Italy,46.5,11.35,minor,107317,
Novara,Italy,45.45,8.6167,minor,104183,
Piacenza,Italy,45.05,9.7,minor,103082,
Ancona,Italy,43.6167,13.5167,admin,100924,
Riga,Latvia,56.9475,24.1069,primary,614618,455.71
Vilnius,Lithuania,54.6833,25.2833,primary,574147,745.6
Kaunas,Lithuania,54.9,23.9333,admin,288466,478.57
Klaipėda,Lithuania,55.7075,21.1428,admin,164310,387.5
Šiauliai,Lithuania,55.9281,23.3167,admin,107086,
Luxembourg,Luxembourg,49.6106,6.1328,primary,128512,1624.56
Skopje,Macedonia,41.9833,21.4333,primary,640000,
Tetovo,Macedonia,42.0103,20.9714,admin,142030,
Amsterdam,Netherlands,52.3667,4.8833,primary,862965,1563.1
Rotterdam,Netherlands,51.9225,4.4792,minor,631155,1305.04
The Hague,Netherlands,52.08,4.31,primary,537833,1059.99
Utrecht,Netherlands,52.0889,5.1156,admin,343779,1338.16
Eindhoven,Netherlands,51.4344,5.4842,minor,231642,1204.57
Tilburg,Netherlands,51.57,5.07,minor,217259,
Almere,Netherlands,52.3758,5.2256,minor,207904,
Groningen,Netherlands,53.2167,6.5667,admin,201462,867
Breda,Netherlands,51.5875,4.775,minor,183873,
Nijmegen,Netherlands,51.8475,5.8625,minor,177659,
Haarlem,Netherlands,52.3803,4.6406,admin,162902,1476.07
Apeldoorn,Netherlands,52.21,5.97,minor,161156,
Enschede,Netherlands,52.2236,6.8956,minor,159703,965.56
Amersfoort,Netherlands,52.15,5.38,minor,156286,
Hoofddorp,Netherlands,52.3008,4.6653,minor,154235,
Zaanstad,Netherlands,52.4697,4.7767,,154037,
Arnhem,Netherlands,51.9833,5.9167,admin,148070,
’s-Hertogenbosch,Netherlands,51.6833,5.3167,admin,134520,
Zoetermeer,Netherlands,52.0611,4.4933,minor,124994,
Zwolle,Netherlands,52.5167,6.1,admin,124914,
Leiden,Netherlands,52.1544,4.4947,minor,124899,
Maastricht,Netherlands,50.8667,5.6833,admin,121565,1068.33
Dordrecht,Netherlands,51.81,4.67,minor,118654,
Alphen aan den Rijn,Netherlands,52.1333,4.65,minor,110986,
Alkmaar,Netherlands,52.6289,4.744,minor,107822,
Emmen,Netherlands,52.7833,6.9,minor,107471,
Delft,Netherlands,52.0119,4.3594,minor,100011,1103.75
Oslo,Norway,59.9111,10.7528,primary,693494,1243.07
Bergen,Norway,60.3925,5.3233,admin,257087,996.06
Trondheim,Norway,63.44,10.4,minor,183378,1054.32
Stavanger,Norway,58.9701,5.7333,admin,129300,967.25
Kristiansand,Norway,58.1467,7.9956,minor,112588,
Drammen,Norway,59.7439,10.2045,minor,109416,
Lisbon,Portugal,38.708,-9.139,primary,506654,1225.29
Sintra,Portugal,38.7974,-9.3904,minor,377835,
Vila Nova de Gaia,Portugal,41.1333,-8.6167,minor,302295,666.67
Porto,Portugal,41.1495,-8.6108,admin,237591,832.22
Cascais,Portugal,38.6969,-9.4206,minor,206479,1011.11
Loures,Portugal,38.8333,-9.1667,minor,205054,
Braga,Portugal,41.5503,-8.42,admin,181494,604.29
Matosinhos,Portugal,41.1867,-8.6844,minor,175478,866.67
Amadora,Portugal,38.75,-9.2333,minor,175136,707.50
Almada,Portugal,38.6803,-9.1583,minor,174030,816,67
Oeiras,Portugal,38.697,-9.3017,minor,172120,930.00
Gondomar,Portugal,41.15,-8.5333,minor,168027,
Seixal,Portugal,38.6333,-9.0833,minor,158269,400
Guimarães,Portugal,41.445,-8.2908,minor,158124,566.67
Odivelas,Portugal,38.8,-9.1833,minor,144549,717.29
Coimbra,Portugal,40.2111,-8.4289,admin,143396,544.44
Vila Franca de Xira,Portugal,38.95,-8.9833,minor,136886,450
Maia,Portugal,41.2333,-8.6167,minor,135306,662.50
Famalicão,Portugal,41.4167,-8.5167,minor,133832,600
Leiria,Portugal,39.7431,-8.8069,admin,126897,690
Setúbal,Portugal,38.5236,-8.8935,admin,123684,690
Barcelos,Portugal,41.5333,-8.6167,minor,120391,
Funchal,Portugal,32.65,-16.9167,admin,111892,812.5
Bucharest,Romania,44.4,26.0833,primary,1883425,441.1
Cluj-Napoca,Romania,46.78,23.5594,admin,324576,440.99
Timişoara,Romania,45.7597,21.23,admin,319279,377.4
Braşov,Romania,45.65,25.6,admin,290743,382.54
Iaşi,Romania,47.1622,27.5889,admin,290422,353.41
Constanţa,Romania,44.1733,28.6383,admin,283872,385.11
Craiova,Romania,44.3333,23.8167,admin,269506,255.89
Galaţi,Romania,45.4233,28.0425,admin,249432,
Ploieşti,Romania,44.9386,26.0225,admin,209945,
Oradea,Romania,47.0722,21.9211,admin,196367,273.48
Brăila,Romania,45.2692,27.9575,admin,180302,
Arad,Romania,46.1667,21.3167,admin,159074,
Piteşti,Romania,44.8667,24.8833,admin,155383,
Sibiu,Romania,45.8,24.15,admin,147245,294.04
Bacău,Romania,46.5833,26.9167,admin,144307,
Târgu-Mureş,Romania,46.5497,24.5597,admin,134290,
Baia Mare,Romania,47.6597,23.5819,admin,123738,
Buzău,Romania,45.1517,26.8167,admin,115494,
Botoşani,Romania,47.7486,26.6694,admin,106847,
Satu Mare,Romania,47.79,22.89,admin,102411,
Belgrade,Serbia,44.8167,20.4667,primary,1378682,741.49
Novi Sad,Serbia,45.2644,19.8317,admin,380000,434.84
Niš,Serbia,43.3192,21.8961,admin,183164,250.1
Zemun,Serbia,44.85,20.4,minor,161596,
Kragujevac,Serbia,44.0142,20.9394,admin,150623,
Bratislava,Slovakia,48.1447,17.1128,primary,475503,667.08
Košice,Slovakia,48.7167,21.25,admin,238593,540.77
Petržalka,Slovakia,48.1333,17.1167,,114000,
Ljubljana,Slovenia,46.05,14.5167,primary,286745,680.89
Madrid,Spain,40.4167,-3.7167,primary,6006000,1009.3
Barcelona,Spain,41.3825,2.1769,admin,4735000,1033.62
Valencia,Spain,39.47,-0.3764,admin,789744,793.95
Sevilla,Spain,37.39,-5.99,admin,684234,656.06
Zaragoza,Spain,41.65,-0.8833,admin,675301,614.29
Málaga,Spain,36.7194,-4.42,minor,577405,769.32
Murcia,Spain,37.9861,-1.1303,admin,460349,625
Palma,Spain,39.5667,2.65,admin,419366,833.33
Las Palmas,Spain,28.1272,-15.4314,admin,378675,814.29
Bilbao,Spain,43.2569,-2.9236,minor,346405,935.71
Alicante,Spain,38.3453,-0.4831,minor,337304,657.5
Córdoba,Spain,37.8845,-4.7796,minor,322071,
Valladolid,Spain,41.6528,-4.7236,admin,297775,
Vigo,Spain,42.2314,-8.7124,,293837,579.17
Gijón,Spain,43.5333,-5.7,,268896,
Vitoria-Gasteiz,Spain,42.85,-2.6833,admin,253093,
A Coruña,Spain,43.3667,-8.3833,minor,245468,
Elche,Spain,38.2669,-0.6983,,234205,
Granada,Spain,37.1781,-3.6008,minor,231775,537.5
Tarrasa,Spain,41.5611,2.0081,,223011,
Badalona,Spain,41.4333,2.2333,,223006,
Oviedo,Spain,43.36,-5.845,admin,217552,526.67
Cartagena,Spain,37.6,-0.9819,,216365,
Sabadell,Spain,41.5483,2.1075,,216204,
Jerez de la Frontera,Spain,36.6817,-6.1378,,212801,
Móstoles,Spain,40.3333,-3.8667,,209639,
Santa Cruz,Spain,28.4667,-16.25,admin,208563,662.23
Pamplona,Spain,42.8167,-1.65,admin,203081,770
Almería,Spain,36.8403,-2.4681,minor,200753,
Alcalá de Henares,Spain,40.4818,-3.3643,,195982,
Fuenlabrada,Spain,40.2833,-3.8,,192233,
Donostia,Spain,43.32,-1.98,minor,188102,
Leganés,Spain,40.3281,-3.7644,,187762,
Getafe,Spain,40.3047,-3.7311,,183095,
Burgos,Spain,42.3408,-3.6997,minor,174051,
Albacete,Spain,38.9956,-1.8558,minor,172722,
Castellón de la Plana,Spain,39.9831,-0.0331,minor,172589,
Santander,Spain,43.4628,-3.805,admin,172221,
Alcorcón,Spain,40.35,-3.8333,,170817,
La Laguna,Spain,28.4853,-16.3167,,158010,
Logroño,Spain,42.465,-2.4456,admin,150808,
Badajoz,Spain,38.8803,-6.9753,minor,150610,
Marbella,Spain,36.5167,-4.8833,,147958,
Salamanca,Spain,40.9667,-5.6639,minor,143269,
Huelva,Spain,37.25,-6.95,minor,142538,
Lleida,Spain,41.6167,0.6333,minor,140080,
Dos Hermanas,Spain,37.2836,-5.9222,,136250,
Tarragona,Spain,41.1187,1.2453,minor,135436,
Torrejón de Ardoz,Spain,40.4614,-3.4978,,132771,
Parla,Spain,40.2372,-3.7742,,131689,
Mataró,Spain,41.5333,2.45,,129120,
Algeciras,Spain,36.1275,-5.4539,,122982,
León,Spain,42.6056,-5.57,minor,122051,
Alcobendas,Spain,40.5333,-3.6333,,116589,
Cádiz,Spain,36.535,-6.2975,minor,114244,
Jaén,Spain,37.7667,-3.7711,minor,111932,
Reus,Spain,41.1549,1.1087,,106084,
Ourense,Spain,42.3364,-7.8633,minor,104596,
Telde,Spain,27.9985,-15.4167,,102769,
Girona,Spain,41.9833,2.8167,minor,101932,
San Vicente de Baracaldo,Spain,43.2972,-2.9917,,100907,
Stockholm,Sweden,59.3294,18.0686,primary,975819,1330.49
Gothenburg,Sweden,57.6717,11.981,admin,604829,987.01
Malmö,Sweden,55.5833,13.0333,admin,269349,750.02
Uppsala,Sweden,59.8498,17.6389,admin,165456,833.36
Uppsala,Sweden,59.8601,17.64,,133117,
Västerås,Sweden,59.6173,16.5422,admin,128534,
Örebro,Sweden,59.2669,15.1965,admin,126009,
Linköping,Sweden,58.4094,15.6257,admin,115672,
Helsingborg,Sweden,56.0424,12.721,minor,113816,
Zürich,Switzerland,47.3744,8.5411,admin,434008,2144.13
Geneva,Switzerland,46.2,6.15,admin,201818,2066.39
Basel,Switzerland,47.5606,7.5906,admin,177827,
Lausanne,Switzerland,46.5333,6.6333,admin,138905,1550.92
Bern,Switzerland,46.948,7.4474,primary,133798,1206.09
Winterthur,Switzerland,47.4992,8.7267,minor,109775,
London,United Kingdom,51.5072,-0.1275,primary,11120000,2304.49
Birmingham,United Kingdom,52.48,-1.9025,,1137100,925.08
Leeds,United Kingdom,53.7997,-1.5492,,789194,935.06
Glasgow,United Kingdom,55.8611,-4.25,,626410,887.4
Bristol,United Kingdom,51.45,-2.5833,,567111,1268.82
Manchester,United Kingdom,53.4794,-2.2453,,547627,1025.97
Sheffield,United Kingdom,53.3808,-1.4703,,518090,793.73
Liverpool,United Kingdom,53.4075,-2.9919,,513441,882.3
Edinburgh,United Kingdom,55.953,-3.189,,488050,1136.16
Leicester,United Kingdom,52.6344,-1.1319,,464395,817.67
Coventry,United Kingdom,52.4081,-1.5106,,362690,925.21
Caerdydd,United Kingdom,51.4817,-3.1792,,361469,884.37
Belfast,United Kingdom,54.5964,-5.93,,333871,979.15
Newcastle,United Kingdom,55.0077,-1.6578,,300196,923.3
Bradford,United Kingdom,53.8,-1.75,,293277,
Ipswich,United Kingdom,52.0594,1.1556,,290000,
Nottingham,United Kingdom,52.9533,-1.15,,289301,862.78
Bolton,United Kingdom,53.578,-2.429,,285372,
Sunderland,United Kingdom,54.906,-1.381,,277417,
Southampton,United Kingdom,50.9025,-1.4042,,271173,906.9
Plymouth,United Kingdom,50.3714,-4.1422,,267918,835.55
Kingston upon Hull,United Kingdom,53.7444,-0.3325,,260200,509.78
Derby,United Kingdom,52.9217,-1.4769,,255394,
Westminster,United Kingdom,51.4947,-0.1353,,255324,
Wolverhampton,United Kingdom,52.5833,-2.1333,,250970,
Stoke-on-Trent,United Kingdom,53,-2.1833,,249008,
Portsmouth,United Kingdom,50.8058,-1.0872,,248440,818.65
Abertawe,United Kingdom,51.6167,-3.95,,245508,
Barnsley,United Kingdom,53.5547,-1.4791,,245199,
Swindon,United Kingdom,51.56,-1.78,,222193,
Luton,United Kingdom,51.8783,-0.4147,,213052,
Northampton,United Kingdom,52.2304,-0.8938,,212100,
Milton Keynes,United Kingdom,52.04,-0.76,,207057,1175.87
Solihull,United Kingdom,52.413,-1.778,,206674,
Aberdeen,United Kingdom,57.15,-2.11,,200680,622.02
Norwich,United Kingdom,52.63,1.297,,195971,965.64
Peterborough,United Kingdom,52.5725,-0.2431,,194000,
Bournemouth,United Kingdom,50.72,-1.88,,187503,980.13
Basildon,United Kingdom,51.5761,0.4886,,185900,
York,United Kingdom,53.9583,-1.0803,,181131,
Warrington,United Kingdom,53.3917,-2.5972,,165456,
Huddersfield,United Kingdom,53.645,-1.7798,,162949,
Reading,United Kingdom,51.4542,-0.9731,,162666,1234.64
Southend,United Kingdom,51.55,0.71,,160257,
Oxford,United Kingdom,51.7519,-1.2578,,152000,1333.12
Dundee,United Kingdom,56.462,-2.9707,,148280,642.15
West Bromwich,United Kingdom,52.519,-1.995,,146386,
Newport,United Kingdom,51.5833,-3,,145700,
Gloucester,United Kingdom,51.8644,-2.2444,,145563,
Poole,United Kingdom,50.7167,-1.9833,,144800,
Birkenhead,United Kingdom,53.393,-3.014,,142968,
Telford,United Kingdom,52.6766,-2.4469,,142723,
Preston,United Kingdom,53.759,-2.699,,141801,
Middlesbrough,United Kingdom,54.5767,-1.2355,,140545,
Blackpool,United Kingdom,53.8142,-3.0503,,139305,
Brighton,United Kingdom,50.8284,-0.1395,,134293,1304.96
Sale,United Kingdom,53.424,-2.322,,134022,
Exeter,United Kingdom,50.7167,-3.5333,,124180,872.4
Cambridge,United Kingdom,52.2053,0.1192,,123867,1427.01
Colchester,United Kingdom,51.8917,0.903,,121859,
High Wycombe,United Kingdom,51.6287,-0.7482,,120256,
Gateshead,United Kingdom,54.95,-1.6,,120046,
Slough,United Kingdom,51.51,-0.59,,119070,
Blackburn,United Kingdom,53.748,-2.482,,117963,
Cheltenham,United Kingdom,51.9,-2.0667,,116447,
Chelmsford,United Kingdom,51.7361,0.4798,,115369,
Rochdale,United Kingdom,53.6136,-2.161,,110194,
Doncaster,United Kingdom,53.5228,-1.1325,,109805,
Rotherham,United Kingdom,53.43,-1.357,,109691,
Worthing,United Kingdom,50.8147,-0.3714,,109120,
Maidstone,United Kingdom,51.272,0.529,,107627,
Basingstoke,United Kingdom,51.2667,-1.0876,,107355,
Crawley,United Kingdom,51.1092,-0.1872,,106597,
Gillingham,United Kingdom,51.385,0.55,,104157,
Salford,United Kingdom,53.483,-2.2931,,103886,
Wigan,United Kingdom,53.5448,-2.6318,,103608,
Saint Helens,United Kingdom,53.4541,-2.7461,,102629,
Worcester,United Kingdom,52.192,-2.22,,101891,
Eastbourne,United Kingdom,50.77,0.28,,101547,
New York,United States,40.6943,-73.9249,,18713220,3734.86
Los Angeles,United States,34.1139,-118.4068,,12750807,2503.67
Chicago,United States,41.8373,-87.6862,,8604203,1879.79
Miami,United States,25.7839,-80.2102,,6445545,2491.75
Dallas,United States,32.7936,-96.7662,,5743938,1699.07
Philadelphia,United States,40.0077,-75.1339,,5649300,1769.74
Houston,United States,29.7863,-95.3889,,5464251,1494.19
Atlanta,United States,33.7627,-84.4224,admin,5449398,1804.49
Washington,United States,38.9047,-77.0163,primary,5379184,2215.61
